Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0200,21.5998,Valid
TST-0030,16.5212,Valid
TST-0193,16.698,Valid
TST-0231,22.0542,Valid
TST-0128,25.0484,Valid
TST-0165,26.984,Valid
TST-0074,14.1436,Valid
TST-0004,33.9228,Valid
TST-0157,24.0109,Valid
TST-0143,25.4724,Valid
TST-0179,42.7148,Valid
TST-0075,27.8979,Valid
TST-0233,23.7201,Valid
TST-0111,26.5067,Valid
TST-0350,22.0132,Valid
TST-0122,17.0359,Valid
TST-0076,22.3906,Valid
TST-0304,26.267,Valid
TST-0190,28.9671,Valid
TST-0061,17.1776,Valid
TST-0009,29.9281,Valid
TST-0194,44.5589,Valid
TST-0156,14.2978,Valid
TST-0088,32.8678,Valid
TST-0256,47.4614,Valid
TST-0329,16.1558,Valid
TST-0219,42.5314,Valid
TST-0306,14.2387,Valid
TST-0324,23.5904,Valid
TST-0113,21.2364,Valid
TST-0135,16.0165,Valid
TST-0339,17.0676,Valid
TST-0260,21.1603,Valid
TST-0195,26.408,Valid
TST-0286,28.8634,Valid
TST-0015,23.2909,Valid
TST-0263,19.7886,Valid
TST-0147,23.7059,Valid
TST-0002,30.2103,Invalid
TST-0114,45.8704,Valid
TST-0271,17.0517,Invalid
TST-0223,21.1962,Valid
TST-0344,16.7113,Valid
TST-0183,31.0355,Valid
TST-0327,32.7908,Valid
TST-0250,10.4758,Valid
TST-0185,38.963,Valid
TST-0242,20.9679,Valid
TST-0158,12.5544,Valid
TST-0078,45.2246,Valid
TST-0120,22.7685,Invalid
TST-0093,29.8888,Valid
TST-0051,17.0051,Valid
TST-0010,15.3291,Valid
TST-0013,51.2519,Valid
TST-0049,14.9258,Valid
TST-0041,17.5217,Valid
TST-0055,31.9533,Valid
TST-0012,20.6459,Valid
TST-0127,48.7949,Valid
TST-0225,26.4403,Valid
TST-0050,22.015,Valid
TST-0172,34.6913,Valid
TST-0079,33.6983,Valid
TST-0046,21.0516,Valid
TST-0325,18.1459,Valid
TST-0280,21.3977,Valid
TST-0140,15.1821,Valid
TST-0244,48.4661,Valid
TST-0203,20.918,Valid
TST-0238,18.6275,Valid
TST-0092,28.9665,Valid
TST-0307,14.2508,Valid
TST-0176,28.7988,Valid
TST-0115,24.431,Valid
TST-0028,19.0388,Invalid
TST-0317,21.0034,Valid
TST-0251,37.8166,Valid
TST-0301,14.7662,Valid
TST-0116,38.0451,Valid
TST-0056,24.6615,Valid
TST-0166,26.979,Valid
TST-0247,32.5783,Valid
TST-0291,26.4585,Valid
TST-0167,31.8674,Invalid
TST-0313,48.3476,Valid
TST-0105,13.9398,Valid
TST-0104,21.4852,Valid
TST-0045,35.078,Valid
TST-0289,43.5524,Valid
TST-0048,24.8582,Valid
TST-0110,19.1142,Valid
TST-0037,38.8919,Valid
TST-0305,18.7405,Valid
TST-0240,32.8394,Valid
TST-0155,35.3306,Valid
TST-0119,52.8268,Valid
TST-0295,23.7796,Valid
TST-0229,18.1908,Valid
TST-0106,21.423,Valid
TST-0052,16.0023,Valid
TST-0276,9.5747,Invalid
TST-0216,20.7747,Valid
TST-0208,20.1376,Valid
TST-0188,21.9083,Valid
TST-0145,49.2789,Valid
TST-0039,21.3551,Valid
TST-0173,19.2051,Valid
TST-0082,21.2913,Valid
TST-0296,36.8391,Valid
TST-0297,32.2613,Valid
TST-0125,17.1234,Valid
TST-0199,26.4561,Valid
TST-0330,21.6467,Valid
TST-0133,35.4003,Valid
TST-0175,31.5522,Valid
TST-0270,45.5902,Valid
TST-0255,16.8283,Valid
TST-0025,13.7218,Valid
TST-0073,14.041,Valid
TST-0077,21.5887,Valid
TST-0293,14.2589,Valid
TST-0212,49.1817,Invalid
TST-0081,13.6522,Valid
TST-0328,19.3939,Valid
TST-0290,48.6574,Valid
TST-0337,17.3988,Valid
TST-0171,24.059,Valid
TST-0057,29.5177,Valid
TST-0284,19.974,Valid
TST-0063,21.8512,Invalid
TST-0022,19.4229,Valid
TST-0044,17.2253,Valid
TST-0035,24.4215,Valid
TST-0258,43.2984,Invalid
TST-0334,26.2434,Valid
TST-0018,27.7565,Valid
TST-0321,21.5258,Valid
TST-0282,14.4031,Valid
TST-0142,44.3639,Invalid
TST-0312,21.3895,Valid
TST-0101,22.3739,Valid
TST-0134,16.8968,Invalid
TST-0287,32.4987,Valid
TST-0153,32.2805,Valid
TST-0299,30.9894,Valid
TST-0204,22.7347,Valid
TST-0090,20.062,Valid
TST-0186,34.2428,Valid
TST-0209,48.1678,Valid
TST-0130,20.8408,Valid
TST-0224,23.5391,Valid
TST-0302,29.4461,Valid
TST-0118,15.4079,Valid
TST-0292,20.3482,Valid
TST-0345,21.28,Valid
TST-0108,24.5314,Valid
TST-0071,15.5967,Valid
TST-0053,15.9869,Valid
TST-0273,16.9167,Valid
TST-0300,14.5188,Valid
TST-0148,19.8344,Valid
TST-0347,39.023,Valid
TST-0146,26.984,Valid
TST-0241,18.6277,Valid
TST-0096,17.6826,Valid
TST-0220,23.4443,Valid
TST-0174,23.8963,Valid
TST-0246,14.53,Valid
TST-0136,18.8646,Valid
TST-0109,23.8196,Valid
TST-0040,38.4629,Valid
TST-0043,10.0909,Invalid
TST-0181,37.0766,Valid
TST-0268,17.0919,Valid
TST-0253,15.809,Valid
TST-0017,24.5455,Valid
TST-0201,24.0269,Valid
TST-0129,16.4435,Valid
TST-0068,47.1931,Valid
TST-0161,15.2167,Valid
TST-0298,19.5767,Invalid
TST-0094,42.7325,Valid
TST-0336,23.9745,Valid
TST-0149,18.7776,Valid
TST-0191,48.6627,Valid
TST-0032,18.3856,Valid
TST-0054,16.7054,Valid
TST-0349,56.8028,Valid
TST-0100,17.5134,Valid
TST-0162,20.155,Valid
TST-0326,25.9737,Invalid
TST-0340,19.5006,Valid
TST-0319,27.6689,Valid
TST-0064,18.405,Valid
TST-0259,28.1759,Valid
TST-0066,43.6525,Valid
TST-0123,47.5455,Valid
TST-0218,21.0435,Valid
TST-0261,21.7286,Valid
TST-0196,20.1421,Valid
TST-0281,18.7283,Invalid
TST-0303,37.7652,Valid
TST-0254,22.9466,Valid
TST-0322,18.46,Valid
TST-0139,16.9658,Valid
TST-0257,37.409,Valid
TST-0033,16.8876,Valid
TST-0112,49.8656,Valid
TST-0021,26.9878,Valid
TST-0083,18.1975,Valid
TST-0150,26.3552,Valid
TST-0265,23.1846,Valid
TST-0227,34.0834,Valid
TST-0170,23.5052,Valid
TST-0318,31.5764,Valid
TST-0097,16.1524,Valid
TST-0152,34.6377,Valid
TST-0084,57.775,Valid
TST-0124,16.6827,Valid
TST-0098,33.3132,Valid
TST-0341,28.5634,Valid
TST-0042,31.4594,Valid
TST-0189,19.3937,Valid
TST-0285,23.4641,Valid
TST-0020,21.7357,Valid
TST-0314,44.4841,Valid
